"domain","name","type","title","title_t","help","help_t","doc"
"com.axelor.apps.crm.db.Event","meeting-lead-converted-form","form","Meeting","Rendez-vous","","",""
"meeting-lead-converted-form","","group","Informations","Informations","","",""
"meeting-lead-converted-form","","group","Meeting date","Date du rendez-vous","","",""
"meeting-lead-converted-form","","group","Description","Description","","",""
"meeting-lead-converted-form","","group","Assignment","Assignation","","",""
"com.axelor.apps.crm.db.MeetingType","meeting-type-form","form","Meeting type","Type de rendez-vous","","",""
"com.axelor.apps.crm.db.MeetingType","meeting-type-grid","grid","Meeting types","Type de rendez-vous","","",""
"com.axelor.apps.crm.db.Opportunity","opportunity-filters","search-filters","Opportunities filters","Filtres Opportunités","","",""
"com.axelor.apps.crm.db.Opportunity","My Opportunities","filter","My Opportunities","Mes opportunités","","",""
"com.axelor.apps.crm.db.Opportunity","Unassigned Opportunities","filter","Unassigned Opportunities","Opportunités non attribuées","","",""
"com.axelor.apps.crm.db.Opportunity","My Team Opportunities","filter","My Team Opportunities","Opportunités de mon équipe","","",""
"com.axelor.apps.crm.db.Opportunity","opportunity-form","form","Opportunity","Opportunité","","",""
"opportunity-form","","group","Informations","Informations","","",""
"opportunity-form","","group","Context","Contexte","","",""
"opportunity-form","","group","Follow-up","Suivi","","",""
"opportunity-form","","group","Financial terms","Termes financier","","",""
"opportunity-form","","group","Assigned to","Assigné à","","",""
"com.axelor.apps.crm.db.Opportunity","opportunity-grid","grid","Opportunities","Opportunités","","",""
"com.axelor.apps.crm.db.Opportunity","opportunity-grid-group","grid","Opportunities","Opportunités","","",""
"com.axelor.apps.crm.db.Opportunity","opportunity-key-account-grid","grid","Opportunities","Opportunités","","",""
"com.axelor.apps.crm.db.Opportunity","opportunity-lead-converted-form","form","Opportunity","Opportunité","","",""
"opportunity-lead-converted-form","","group","Informations","Informations","","",""
"opportunity-lead-converted-form","","group","Context","Contexte","","",""
"opportunity-lead-converted-form","","group","Follow-up","Suivi","","",""
"opportunity-lead-converted-form","","group","Financial terms","Termes financier","","",""
"opportunity-lead-converted-form","","group","Assigned to","Assigné à","","",""
"com.axelor.apps.crm.db.Opportunity","opportunity-top-deal-grid","grid","Opportunities","Opportunités","","",""
"com.axelor.apps.crm.db.OpportunityType","opportunity-type-form","form","Opportunity type","Type d'opportunité","","",""
"com.axelor.apps.crm.db.OpportunityType","opportunity-type-grid","grid","Opportunity types","Types d'opportunité","","",""
"com.axelor.apps.base.db.Partner","partner-lead-converted-form","form","Partner","Les Tiers","","",""
"partner-lead-converted-form","information","page","Informations","Informations","","",""
"partner-lead-converted-form","","group","Partner details","Détails du tiers","","",""
"partner-lead-converted-form","","group","Postal addresses","Les adresses postales","","",""
"partner-lead-converted-form","","group","Invoicing address","Adresse facturation","","",""
"com.axelor.apps.base.db.Partner","Address","viewField","Address","Adresse","","",
"com.axelor.apps.base.db.Partner","City","viewField","City","Ville","","",
"com.axelor.apps.base.db.Partner","State","viewField","State","Statut","","",
"com.axelor.apps.base.db.Partner","Postal code","viewField","Postal code","Code Postal","","",
"com.axelor.apps.base.db.Partner","Country","viewField","Country","Pays","","",
"partner-lead-converted-form","","group","Delivery address","Adresse livraison","","",""
"com.axelor.apps.base.db.Partner","Address","viewField","Address","Adresse","","",
"com.axelor.apps.base.db.Partner","City","viewField","City","Ville","","",
"com.axelor.apps.base.db.Partner","State","viewField","State","Statut","","",
"com.axelor.apps.base.db.Partner","Postal code","viewField","Postal code","Code Postal","","",
"com.axelor.apps.base.db.Partner","Country","viewField","Country","Pays","","",
"partner-lead-converted-form","","group","Contact","Contact","","",""
"partner-lead-converted-form","payment","page","Invoicing/Payment","Facturation/Paiement","","",""
"partner-lead-converted-form","","page","Settings","Configurations","","",""
"com.axelor.apps.crm.db.TargetConfiguration","target-configuration-form","form","Target configuration","Configuration objectifs","","",""
"target-configuration-form","","group","Information","Information","","",""
"target-configuration-form","","group","Period","Période","","",""
"target-configuration-form","","group","Opportunity","Opportunité","","",""
"com.axelor.apps.crm.db.TargetConfiguration","target-configuration-grid","grid","Target configurations","Configuration objectifs","","",""
"com.axelor.apps.crm.db.Target","target-form","form","Target","Objectifs","","",""
"target-form","","group","Information","Information","","",""
"target-form","","group","Period","Période","","",""
"target-form","","group","Opportunity","Opportunité","","",""
"target-form","","separator","Target","Objectifs","","",""
"target-form","","separator","Real","Réel","","",""
"target-form","","group","Events","Événements","","",""
"target-form","","separator","Target","Objectifs","","",""
"target-form","","separator","Real","Réel","","",""
"com.axelor.apps.crm.db.Target","target-grid","grid","Targets","Objectifs","","",""
"","target.team.dashboard.portal","portal","Target team Dashboard","Tableau de bord des objectifs équipes","","",""
"","target.user.dashboard.portal","portal","Target User Dashboard","Tableau de bord des objectifs utilisateurs","","",""
"com.axelor.apps.crm.db.Event","tasks-filters","search-filters","Tasks filters","Filtres Tâches","","",""
"com.axelor.apps.crm.db.Event","My Tasks","filter","My Tasks","Mes Tâches","","",""
"com.axelor.apps.crm.db.Event","My Today Tasks","filter","My Today Tasks","Mes tâches du jour","","",""
"com.axelor.apps.crm.db.Event","My Upcoming Tasks","filter","My Upcoming Tasks","Tâches à venir","","",""
"com.axelor.apps.crm.db.Event","My Team Tasks","filter","My Team Tasks","Tâches de mon équipe","","",""
"com.axelor.apps.crm.db.Event","ticket-filters","search-filters","Ticket filters","","","",""
"com.axelor.apps.crm.db.Event","My Tickets","filter","My Tickets","Mes tickets","","",""
"com.axelor.apps.crm.db.Event","My Team Tickets","filter","My Team Tickets","Tickets de mon Equipe","","",""
"com.axelor.apps.crm.db.Event","Unassigned Tickets","filter","Unassigned Tickets","Tickets non assignés","","",""
"com.axelor.apps.crm.db.Event","Urgent Tickets","filter","Urgent Tickets","Tickets urgents","","",""
"com.axelor.apps.crm.db.Event","New Tickets","filter","New Tickets","Nouveau ticket","","",""
"com.axelor.apps.crm.db.Event","Ongoing Tickets","filter","Ongoing Tickets","Tickets en cours","","",""
"com.axelor.apps.crm.db.Event","Closed Tickets","filter","Closed Tickets","Tickets fermés","","",""
"com.axelor.apps.crm.db.Event","ticket-form","form","Ticket","Ticket","","",""
"ticket-form","","separator","Ticket N°","","","",""
"ticket-form","","separator","Subject","Sujet","","",""
"com.axelor.apps.crm.db.Event","Subject","placeholder","Subject","Sujet","","",""
"ticket-form","","separator","Details","Détails","","",""
"ticket-form","","separator","Dates","Dates","","",""
"com.axelor.apps.crm.db.Event","Hours","placeholder","Hours","Heures","","",""
"ticket-form","","label",":","","","",""
"com.axelor.apps.crm.db.Event","Minutes","placeholder","Minutes","","","",""
"ticket-form","","group","Attributes","","","",""
"ticket-form","","group","Linked to","","","",""
"ticket-form","","page","Description","Description","","",""
"ticket-form","","page","Comments","Commentaires","","",""
"com.axelor.apps.message.db.Message","","form","Comment","Commentaire","","",""
"","","group","Informations","Informations","","",""
"","","group","Content","Contenu","","",""
"com.axelor.apps.message.db.Message","","grid","Comments","Commentaires","","",""
"ticket-form","","page","Watchers","Observateurs","","",""
"ticket-form","","page","Spent times","","","",""
"com.axelor.apps.crm.db.Event","ticket-grid","grid","Ticket","Ticket","","",""
"action-lead-view-convert-lead","action-lead-view-convert-lead","action","Convert lead","Convertir le prospect","","",""
"action-lead-view-create-call","action-lead-view-create-call","action","Create call","","","",""
"action-lead-view-create-meeting","action-lead-view-create-meeting","action","Create meeting","Créer rendez-vous","","",""
"action-lead-view-create-opportunity","action-lead-view-create-opportunity","action","Create opportunity","","","",""
"action-lead-view-create-task","action-lead-view-create-task","action","Create task","","","",""
"action-lead-view-event-ticket","action-lead-view-event-ticket","action","Tickets","Tickets","","",""
"action-lead-view-historical-events-completed","action-lead-view-historical-events-completed","action","Historical events completed","","","",""
"action-lead-view-opportunity","action-lead-view-opportunity","action","Opportunities","Opportunités","","",""
"action-lead-view-upcoming-events","action-lead-view-upcoming-events","action","Upcoming events","","","",""
"action-target-validate","action-target-validate","action","From date must be less than the to date","","","",""
"crm.conf.calendar","crm.conf.calendar","action","Calendars","Calendriers","","",""
"crm.conf.calendar.configuration","crm.conf.calendar.configuration","action","Calendar Configurations","Configuration Calendriers","","",""
"crm.conf.crm.batch","crm.conf.crm.batch","action","Batches","Les batchs","","",""
"crm.conf.event.category","crm.conf.event.category","action","Event Categories","Catégories d’événements","","",""
"crm.conf.lead.source","crm.conf.lead.source","action","Leads Source","Provenances des prospects","","",""
"crm.conf.meeting.type","crm.conf.meeting.type","action","Meeting Types","Types de rendez-vous","","",""
"crm.conf.participant","crm.conf.participant","action","Meeting Participants","Participants aux rendez-vous","","",""
"crm.conf.target","crm.conf.target","action","Target","Objectifs","","",""
"crm.conf.target.configuration","crm.conf.target.configuration","action","Targets Configurations","Configuration objectifs","","",""
"crm.root.call","crm.root.call","action","Calls","Appels","","",""
"crm.root.create.call","crm.root.create.call","action","Call","Appel","","",""
"crm.root.create.meeting","crm.root.create.meeting","action","Meeting","Rendez-vous","","",""
"crm.root.create.task","crm.root.create.task","action","Task","Tâche","","",""
"crm.root.create.ticket","crm.root.create.ticket","action","Ticket","Ticket","","",""
"crm.root.lead","crm.root.lead","action","Leads","Pistes","","",""
"crm.root.meeting","crm.root.meeting","action","Meetings","Rendez-vous","","",""
"crm.root.meeting.my.calendar","crm.root.meeting.my.calendar","action","My Meetings Calendar","Mon Calendrier","","",""
"crm.root.meeting.team.calendar","crm.root.meeting.team.calendar","action","Team Calendar","Calendrier de mon équipe","","",""
"crm.root.opportunity","crm.root.opportunity","action","Opportunities","Opportunités","","",""
"crm.root.task","crm.root.task","action","Tasks","Tâches","","",""
"crm.root.ticket","crm.root.ticket","action","Tickets","Tickets","","",""
"portal.base.partner.list.dashboard.view","portal.base.partner.list.dashboard.view","action","Partner List Report","Reporting Tiers","","",""
"portal.event.graph.dashboard.view","portal.event.graph.dashboard.view","action","Event Graph Report","Graphique des évènements","","",""
"portal.lead.graph.dashboard.view","portal.lead.graph.dashboard.view","action","Lead Graph Report","Graphique des Leads","","",""
"portal.opportunity.dashboard.view","portal.opportunity.dashboard.view","action","Opportunity","Opportunité","","",""
"portal.opportunity.graph.dashboard.view","portal.opportunity.graph.dashboard.view","action","Opportunity Report","Reporting des opportunités","","",""
"portal.target.team.dashboard.view","portal.target.team.dashboard.view","action","Target team Dashboard","Tableau de bord des objectifs équipes","","",""
"portal.target.user.dashboard.view","portal.target.user.dashboard.view","action","Target user Dashboard","Tableau de bord des objectifs utilisateurs","","",""
"top.new.lead.view","top.new.lead.view","action","Create Lead","Créer lead","","",""
"top.new.opportunity.view","top.new.opportunity.view","action","Create Opportunity","","","",""
"top.propsection.leads","top.propsection.leads","action","Leads","Pistes","","",""
"top.prospection.opportunity","top.prospection.opportunity","action","Opportunities","Opportunités","","",""
