"name";"title";"groups"
"project-root-task";"Tasks";"admins|ERP|MGT|VTE|ACH|OPS"
"menu-tasks-dashboard";"Tasks";"admins|ERP|MGT|CRM"
"menu-tasks-dashboard-1";"Tasks Db";"admins|ERP|MGT|CRM"
"crm-root-meeting-team-calendar";"Team Calendar";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"admin-root-user-team";"Teams";"admins"
"admin-root-maintenance";"Technical maintenance";"admins"
"admin-root-templating-template";"Template";"admins|ERP|CRM|MGT"
"admin-root-templating-template-rules";"Template Rules";"admins|ERP|CRM|MGT"
"admin-root-templating";"Templating";"admins|ERP|CRM|MGT"
"admin-root-organisation-territory";"Territories";"admins|ERP"
"crm-root-create-ticket";"Ticket";"admins|ERP|CST|CRM|VTE|OPS|MGT"
"crm-root-ticket";"Tickets";"admins|ERP|CST|CRM|VTE|OPS|MGT"
"menu-tickets-dashboard";"Tickets";"admins|ERP|CST|CRM|VTE|OPS|MGT"
"menu-tickets-dashboard-1";"Tickets Db 1";"admins|ERP|CST|CRM|VTE|OPS|MGT"
"menu-tickets-dashboard-2";"Tickets Db 2";"admins|ERP|CST|CRM|VTE|OPS|MGT"
"menu-wkf-intermediate-timer-event";"Timer events";"admins|ERP|MGT|BPM"
"hr-root-validationforms-timesheet";"Timesheets to validate";"admins|ERP|MGT|HRM"
"admin-root-maintenance-trace-back";"Tracebacks";"admins|ERP|MGT|HRM"
"product-conf-tracking-number-config";"Tracking number configuration";"admins|ERP|OPS"
"hr-root-training";"Trainings";"admins|ERP|MGT|HRM"
"protraining-root-pro-training";"Trainings";"admins|ERP|MGT|HRM"
"menu-wkf-transitions";"Transitions";"admins|ERP|MGT|BPM"
"mail-root-email-trash";"Trash";"admins"
"menu-wkf-intermediate-twitter-event";"twitter events";"admins|ERP|MGT|BPM"
"admin-conf-general-unit-conversion";"Unit conversions";"admins|ERP"
"admin-conf-general-unit";"Units";"admins|ERP"
"menu-auth";"User Management";"admins"
"menu-auth-users";"Users";"admins"
"admin-root-user-user-info";"Users";"admins"
"admin-root-user";"Users/Companies";"admins"
"account-conf-financial-tax";"V.A.T.";"admins|ERP|MGT"
"hr-root-validationforms";"Validation forms";"admins|ERP|MGT|HRM"
"menu-view-management";"View Management";"admins"
"menu-wkf";"Wkf Management";"admins|ERP|MGT|BPM"
"menu-wkf-workflows";"Workflows";"admins|ERP|MGT|BPM"
"hr-root-schedule";"Working hours";"admins|ERP|MGT|HRM"
"admin-conf-general-year";"Years";"admins|ERP|MGT|HRM|CPT"
